CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_STATUS,COMPANY_CLASS,COMPANY_CATEGORY,COMPANY_SUB_CATEGORY,DATE_OF_REGISTRATION,REGISTERED_STATE,AUTHORIZED_CAP,PAIDUP_CAPITAL,INDUSTRIAL_CLASS,PRINCIPAL_BUSINESS_ACTIVITY_AS_PER_CIN,REGISTERED_OFFICE_ADDRESS,REGISTRAR_OF_COMPANIES,EMAIL_ADDR,LATEST_YEAR_ANNUAL_RETURN,LATEST_YEAR_FINANCIAL_STATEMENT
U85100KA2013PTC068246,AWESOMEISA HEALTHCARE PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,21-03-2013,Karnataka,100000.0,100000.0,85100,Health and social work,"# 430A, WARD NO.4CHURCH ROAD  ",ROC BANGALORE,sudhirpaul_dhawale@yahoo.co.in,,
U00265KA1993PTC015055,AANDA .COM PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,22-12-1993,Karnataka,5000000.0,2000.0,00265,Agriculture & allied,"JALADARSHINI, 117, ANNASWAMYMUDALIAR ROAD,BANGALORE-560 042.  ",ROC BANGALORE,chacolatejunction@gmail.com,,
U80904KA2018PTC113797,CSES EDU PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,08-06-2018,Karnataka,100000.0,100000.0,80904,Education,"EMPIRE MALLGROUND FLOOR,KODIALBAIL  ",ROC BANGALORE,auditors.pkd@gmail.com,,
U99999KA1966PTC001635,PRINTERSALL PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,10-08-1966,Karnataka,2500000.0,55000.0,99999,Extraterritorial organizations and bodies,C/O. O.L. BANGALORE.UNDER SECTION 497.   ,ROC BANGALORE,,,
U72200KA2014FTC077739,CYPHORT CYBERSECURITY INDIA PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Subsidiary of Foreign Company,11-12-2014,Karnataka,500000.0,500000.0,72200,Real estate renting and business activities,"G-001, SOUTH END SAMPURNA, No -11 / 94MODEL HOUSE STREET, BASAVANAGUDI  ",ROC BANGALORE,taxsupport@juniper.net,31-03-2019,31-03-2019
U74999KA2017PTC100594,SELFIEFOODS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,16-02-2017,Karnataka,100000.0,100000.0,74999,Real estate renting and business activities,"1469,25th D Cross,26th Main2nd Sector, HSR Layout  ",ROC BANGALORE,seshakalyan@gmail.com,,
U72502KA2010PTC055902,QZ LAB TELECOM PRIVATE LIMITED   ,UPSO,Private,Company limited by Shares,Non-govt company,22-11-2010,Karnataka,100000.0,100000.0,72502,Real estate renting and business activities,"No.20 3rd Floor,Shankarmutt Main Road,Shankarpuram  ",ROC BANGALORE,sriram@qualzoom.com,31-03-2016,31-03-2016
U73100KA2001PTC029921,IDEOLOGIX COMMUNICATIONS PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,24-12-2001,Karnataka,500000.0,100000.0,73100,Real estate renting and business activities,"302, 2ND FLOOR, SANTOJ COTTAGE107, SURVEYOR STREETBASAVANGUDI  ",ROC BANGALORE,,,
U72900KA2018PTC111920,TALLYX LABS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,04-04-2018,Karnataka,100000.0,100000.0,72900,Real estate renting and business activities,"134, 11th B CrossVirupakshapura, Kodigehalli  ",ROC BANGALORE,veerendra.kumar@tallyx.com,31-03-2019,31-03-2019
U74900KA2008PTC048135,MILLENIA MANAGEMENT PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,30-10-2008,Karnataka,20000000.0,1100000.0,74900,Real estate renting and business activities,"No.40/1A, Basappa Complex, 3rd FloorLavelle Road  ",ROC BANGALORE,milleniampl@gmail.com,31-03-2019,31-03-2019
U74999KA2016PTC092438,4G MOVIEZ PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,22-04-2016,Karnataka,1000000.0,100000.0,74999,Real estate renting and business activities,"#20/1, Shalom Home, Ground Floor, 9th CrossShiva Shakti Nagar, J. P. Nagar 7th Phase,  ",ROC BANGALORE,shri.smile123@gmail.com,,
U74999KA2017PTC103326,SHUKRA BUILDERS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,25-05-2017,Karnataka,100000.0,100000.0,74999,Real estate renting and business activities,"#34, 2nd Floor, 4th Cross, AGS Colony,New BEL Road, MSR Nagar  ",ROC BANGALORE,basappa_k@yahoo.com,31-03-2019,31-03-2019
U74999KA2019PTC123823,LAHAVANA INFRASTRUCTURES PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,26-04-2019,Karnataka,500000.0,500000.0,74999,Real estate renting and business activities,A-308 T-12 B BLOCK JANAADHAR SHUBHA APTSM MEDIHALLI ATTIBELE TO ANEKAL ROAD  ,ROC BANGALORE,DIPTANSHU.MISHRA@FILLMYHOME.IN,,
U70109KA2010PTC053581,AAKAR BUILDERS AND DEVELOPERS BELGAUMPRIVATE LIMITED  ,STOF,Private,Company limited by Shares,Non-govt company,11-05-2010,Karnataka,500000.0,100000.0,70109,Real estate renting and business activities,"CTS NO. 5787, SAI LEELA APARTMENT, 4TH FLOOR,MARATHA COLONY, CONGRESS ROAD, TILAKWADI,  ",ROC BANGALORE,adake.rahul@rediffmail.com,,
U24299KA2019PTC121837,BELCITY PHARMA PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,25-02-2019,Karnataka,1000000.0,100000.0,24299,Manufacturing,"C/o Dattatray Mahadev Hajje House No1050Attar Galli, Pachapur, Taluka Hukkeri  ",ROC BANGALORE,dr.vinayakhajje@gmail.com,,
U74996KA2008PTC046162,PROED TRAINING PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,23-04-2008,Karnataka,7500000.0,6499650.0,74996,Real estate renting and business activities,"# 3M-215, Outer Ring Road,East of NGEF, Kasturinagar,  ",ROC BANGALORE,sgupta@maintec.in,31-03-2019,31-03-2019
U72900KA1995PTC018327,ORACLE SOLUTION SERVICES (INDIA) PRIVATE LIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,18-07-1995,Karnataka,10000000.0,2478500.0,72900,Real estate renting and business activities,"Prestige Technology Park,Venus Block 2C,Level 6-8#29, Sarjapur Marathalli Ring Rd, Kadabeesanahalli  ",ROC BANGALORE,onkarnath.banerjee@oracle.com,31-03-2019,31-03-2019
U85110KA2014PTC074387,SIDVIN MEDITOURISM PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,25-03-2014,Karnataka,100000.0,100000.0,85110,Health and social work,"#31, 1st Main, 3rd Stage,3rd Block, Basaveshwaranagar  ",ROC BANGALORE,j_sharath@yahoo.com,,
U72200KA2012PTC066889,TRIAMLYNX TECHNOLOGIES PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,26-11-2012,Karnataka,1000000.0,1000000.0,72200,Real estate renting and business activities,"#254 1ST FLOOR,VIDYATHEERTHA MARGA GAYATHRI LAYOUTSHANKARA NAGARA,BESIDE R.T.NAGAR RING ROAD MYSURU  ",ROC BANGALORE,pradeepsubramanyam4@gmail.com,31-03-2019,31-03-2019
U31909KA1991PTC012408,JAP TRICOMP SYSTEMS SERVICES PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,11-10-1991,Karnataka,500000.0,131000.0,31909,Manufacturing,"NO.33, 15TH CROSS3 RD BLOCK, JAYANAGARBANGALORE  ",ROC BANGALORE,jryale@yale-india.com,31-03-2019,31-03-2019
U51909KA1987PTC008241,VIJAYALAKSHMI FLOUR MILLS PRIVATELIMITED  ,STOF,Private,Company limited by Shares,Non-govt company,18-03-1987,Karnataka,1000000.0,25000.0,51909,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,"SANGAMESH THEATRE PREMISES,,BHALKI,BIDAR DISTT.   ",ROC BANGALORE,,,
U74140KA2005PTC035940,GS MANAGEMENT SERVICES PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,30-03-2005,Karnataka,3500000.0,2720600.0,74140,Real estate renting and business activities,"1091, 2nd Floor, S.R.N.G. Sampannappa ComplexOTC Road, Nagarathpet  ",ROC BANGALORE,hsgopal@gsmanagement.in,31-03-2019,31-03-2019
U13209KA2004PTC034413,SAYI ORES EXPORTS PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,29-07-2004,Karnataka,10000000.0,180000.0,13209,Mining and quarrying,"POST TORKE,KUMTA TALUKUTTARA KANNADA  ",ROC BANGALORE,sayiseafoods@yahoo.com,31-03-2010,31-03-2010
U74110KA1995PTC109924,COURTYARD HOSPITALITY PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,04-05-1995,Karnataka,2500000.0,109800.0,74110,Real estate renting and business activities,"NITESH TIMESQUARE, 7TH FLOOR, NO.8, M.G. ROAD   ",ROC BANGALORE,cs@nelholdings.in,31-03-2019,31-03-2019
U00500KA1997PTC022348,EMBASSY HOUSE PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,09-06-1997,Karnataka,500000.0,2000.0,00500,Agriculture & allied,"IST FLOOR, EMBASSY POINT,150 INFANTRY ROAD,BANGALORE-560 001.  ",ROC BANGALORE,,,
U72900KA2019PTC126484,8 AND H ENGINEERING SERVICES PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,24-07-2019,Karnataka,100000.0,100000.0,72900,Real estate renting and business activities,"No. 26, Seethappa Layout, Chamundinagar,R T Nagar Post,  ",ROC BANGALORE,chandanshrm07@gmail.com,,
U45309KA2017PTC100428,NIRANTHARA INFRA PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,10-02-2017,Karnataka,1000000.0,900000.0,45309,Construction,"No. 13/2, 2nd floor, Janakinarayana Complex,TC Palya Main Road, Subhash Nagar, Virgonagar PO  ",ROC BANGALORE,info@nirantharainfra.com,31-03-2019,31-03-2019
U45201KA2018PTC118235,ITIGHNE REALTY PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,01-11-2018,Karnataka,1000000.0,100000.0,45201,Construction,"#1195, 3rd Floor, 5th C Cross, 16th MainBTM 2nd Stage  ",ROC BANGALORE,rameshbk@aol.in,,
U72200KA2009PTC050824,PRODIGY TECHNOVATIONS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,02-09-2009,Karnataka,39500000.0,22458420.0,72200,Real estate renting and business activities,"No.294,3rd Floor,7th Cross,7th Main Road,Mico Layout, BTM 2nd Stage,  ",ROC BANGALORE,godfree.coelho@prodigytechno.com,31-03-2019,31-03-2019
U74999KA2017PTC108180,NAIK SIGNAGE SOLUTIONS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,24-11-2017,Karnataka,100000.0,100000.0,74999,Real estate renting and business activities,"#13/14, 2ND FLOOR, SV COMPELEX, 2NDCROSS, NAVODAYANAGARA, JP NAGARA  ",ROC BANGALORE,naikabhishek459@gmail.com,31-03-2018,31-03-2018
U74999KA2016PTC098005,TECH-GALIANT SYSTEMS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,23-11-2016,Karnataka,1000000.0,600000.0,74999,Real estate renting and business activities,"NO.8, 5TH A CROSS, 23RD MAIN, MANJUNATH COLONY,J.P NAGAR II PHASE  ",ROC BANGALORE,nath.rajesh@gmail.com,31-03-2019,31-03-2019
U74999KA2019PTC128010,DIGI UPAAY SOLUTIONS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,17-09-2019,Karnataka,300000.0,10000.0,74999,Real estate renting and business activities,"160,17th C Main Road KHB BLOCK KORAMANGA5TH BLOCK KORAMANGALA  ",ROC BANGALORE,LEGALSALAH@GMAIL.COM,,
U55101KA1981PTC004203,RASA SAYANG HOTELS PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,25-04-1981,Karnataka,1000000.0,15000.0,55101,Hotels and restaurants,"30, LANGFORD ROAD,BANGALORE-25   ",ROC BANGALORE,,,
U45309KA2017PTC107027,EKASHRUNGI CONSTRUCTIONS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,09-10-2017,Karnataka,1000000.0,1000000.0,45309,Construction,"C/O Ningaiah, Maruthi Complex,OppSc/St Hostel, Belamgumbha Road,  ",ROC BANGALORE,ash@softre.com,,
U72200KA2000PTC026466,VAAKYA TECHNOLOGIES PRIVATE LIMITED   ,DISD,Private,Company limited by Shares,Non-govt company,25-02-2000,Karnataka,129000000.0,104976100.0,72200,Real estate renting and business activities,"A3377, Golden Heritage Apts,3rd Cross, NGR Layout, Roopeana Agarhara,  ",ROC BANGALORE,guru@vaakya.com,31-03-2014,31-03-2014
U74900KA2013PTC072047,SMERCH CONSULTANTS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,22-11-2013,Karnataka,100000.0,100000.0,74900,Real estate renting and business activities,"Sukruthi Cottage. 1st Main ,Kuvempunagara,   ",ROC BANGALORE,smerchconsultants@outlook.com,31-03-2019,31-03-2019
U74140KA1992PTC012798,HAARBINGER MARKETING PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,05-02-1992,Karnataka,200000.0,2000.0,74140,Real estate renting and business activities,"AT 5 & 6 POOJA ARCADE, K.S.RAO ROADMANGALORE-575001.  ",ROC BANGALORE,,,
U29120KA1986PTC007729,INNOVATIVE PROCESS EQUIPMENTS PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,06-08-1986,Karnataka,500000.0,470000.0,29120,Manufacturing,"No B-475, Gokul Industrial EstateGokul Road,  ",ROC BANGALORE,innova@bsnl.in,31-03-2019,31-03-2019
U74900KA2015PTC078972,CCR DESIGNER CLOSET PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,24-02-2015,Karnataka,100000.0,100000.0,74900,Real estate renting and business activities,"HOUSE NO 1112, 13TH CROSS,INDIRANAGAR, 2ND STAGE  ",ROC BANGALORE,devi@candidlycouture.com,31-03-2016,31-03-2016
U72200KA2014FTC073062,DATAXIS RESEARCH PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Subsidiary of Foreign Company,16-01-2014,Karnataka,100000.0,100000.0,72200,Real estate renting and business activities,"No 63, 2nd Floor, 14th Cross9th Main, Indiranagar 2nd Stage,  ",ROC BANGALORE,pascal.orhan@dataxis.com,31-03-2017,31-03-2017
U51396KA2007PTC041870,WILLIAM PENN PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,23-02-2007,Karnataka,10000000.0,10000000.0,51396,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,"No.31, 6th Main,3rd Block, Jayalakshmi Puram  ",ROC BANGALORE,nikhil@williampenn.net,31-03-2019,31-03-2019
U29219KA2017PTC100398,SRI ANGANAYA ENGINEERING PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,10-02-2017,Karnataka,1000000.0,500000.0,29219,Manufacturing,"No.19/2, VabasandraVillage, HulimangalaGrama  ",ROC BANGALORE,shivashiva29043@gmail.com,31-03-2019,31-03-2019
U74140KA2000PTC028114,XUS MANAGEMENT CONSULTANTS PRIVATE LIMITED  ,STOF,Private,Company limited by Shares,Non-govt company,14-11-2000,Karnataka,500000.0,100000.0,74140,Real estate renting and business activities,"1, SAUNDERS ROADFRAZER TOWNBANGALORE  ",ROC BANGALORE,,,
U74900KA2010PTC055073,CITIOFFICE NETWORK PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,06-09-2010,Karnataka,1000000.0,100000.0,74900,Real estate renting and business activities,"16/1, ""Wings"" , 3rd Floor,Cambridge Road, Halasuru,  ",ROC BANGALORE,subramanian.b@starmarksv.com,31-03-2019,31-03-2019
U45500KA2017PTC108334,ECOSIP BUILDING SYSTEM PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,30-11-2017,Karnataka,500000.0,100000.0,45500,Construction,"102, First floor, Pentagon Building,Mosque Road, Frazer Town,  ",ROC BANGALORE,ahmedsharieff@gmail.com,,
U45500KA2017PTC100359,SWATHI CONSTRUCTIONS AND INTERIORSPRIVATE LIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,09-02-2017,Karnataka,300000.0,300000.0,45500,Construction,"284, 20TH MAINSHRINIVASNAGAR, 4TH BLOCK, NANDINI LAYOUT  ",ROC BANGALORE,rsprabhuandco@gmail.com,,
U01409KA2008PTC046579,CRIYAGEN AGRI & BIOTECH PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,27-05-2008,Karnataka,47500000.0,24263670.0,01409,Agriculture & allied,"Sy. No. 71/5, 10 KM, KareemsonnenahalliDoddaballapur-Nelamangala State Highway  ",ROC BANGALORE,basu@criyagen.com,31-03-2019,31-03-2019
U80904KA2017PTC102331,BELPHA ACADEMY PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,18-04-2017,Karnataka,100000.0,100000.0,80904,Education,NO 1C-310 HBR LAYOUT3RD BLOCK  ,ROC BANGALORE,cs@setindiabiz.com,,
U70100KA2018PTC116837,AANGIRASA CONSTRUCTIONS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,25-09-2018,Karnataka,1000000.0,100000.0,70100,Real estate renting and business activities,"""LAKSHMI ENCLAVE"",TF 302 SITE No 16 & 17ANJANEYANANAGAR BSK 3RD STAGE  ",ROC BANGALORE,govbusinesswindo@gmail.com,,
U80902KA2018PTC113541,AXS EDUCATIONAL MANAGEMENT PRIVATELIMITED  ,STOF,Private,Company limited by Shares,Non-govt company,30-05-2018,Karnataka,100000.0,100000.0,80902,Education,No.202.HUBTOWN PRIME3/2 A.M. ROAD ULSOOR  ,ROC BANGALORE,eswardg.dg@gmail.com,,
U74999KA2013PTC069412,RINGS & ROSES EVENT MANAGERS PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,31-05-2013,Karnataka,500000.0,100000.0,74999,Real estate renting and business activities,"No. 2/3, Assaye Road,Ground Floor, Sivan Chetty Garden (PO),  ",ROC BANGALORE,jcratnam@gmail.com,31-03-2019,31-03-2019
U31900KA2009PTC051489,INDESET ELECTROMECHANICAL PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,13-11-2009,Karnataka,10000000.0,9100000.0,31900,Manufacturing,"E-106, Sunrise Chambers,22, Ulsoor Road,  ",ROC BANGALORE,roc_filings@sobha.com,31-03-2019,31-03-2019
U35999KA2007PTC041580,SHANTI EXIM INTERNATIONAL PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,25-01-2007,Karnataka,5000000.0,3600000.0,35999,Manufacturing,"No.15, N. R. Road,   ",ROC BANGALORE,shantiexim15@gmail.com,31-03-2019,31-03-2019
U74900KA2010PTC053762,NOVOTREE MINDS CONSULTING PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,25-05-2010,Karnataka,100000.0,100000.0,74900,Real estate renting and business activities,"17-68(1), \x1aSHAKTHI\x1a Nivas, Bantwal Road,Kodangallu, Taccode Post,  ",ROC BANGALORE,nagaraj@novotreeminds.com,31-03-2019,31-03-2019
U40106KA2016PTC096912,SHRI BAALAJI POWER INFRASTRUCTUREPRIVATE LIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,03-10-2016,Karnataka,1000000.0,100000.0,40106,Electricity gas and water supply,"No.478, S S Arcade, 3rd Floor, II PhaseIdeal Homes Township, Rajarajeshwari Nagar  ",ROC BANGALORE,info@shribaalajipowerinfra.co.in,31-03-2018,31-03-2018
U29190KA1992PTC013075,ACKURETTA SYSTEMS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,20-04-1992,Karnataka,50000000.0,25000000.0,29190,Manufacturing,"""SHEIFF HOUSE"", IIIRD FLOOR,85 RICHMOND ROAD,BANGALORE  ",ROC BANGALORE,accounts1@myvan.in,31-03-2019,31-03-2019
U80301KA2011PTC061496,HIJAAZ EDUCATION PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,05-12-2011,Karnataka,1000000.0,1000000.0,80301,Education,"NO. 99/2, MUBARAK NAGAR, BEHIND DARUL-ULOOM MASJIDTHIGALARAYANAPALYA MAIN ROAD, PEENYA 2ND STAGE,  ",ROC BANGALORE,jameelash@yahoo.com,,
U15490KA2019PTC127587,GARDEN VOX PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,02-09-2019,Karnataka,100000.0,100000.0,15490,Manufacturing,"No.136, 15th CROSSNAGAVARAPALYA  ",ROC BANGALORE,Rashmi.bhattacharjee1@gmail.com,,
U01112KA1992PTC013189,MADHURYA SOLVENT PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,25-05-1992,Karnataka,1000000.0,10000.0,01112,Agriculture & allied,"BANGALORE ROAD, CHALLAKERECHITRADURGA.   ",ROC BANGALORE,,,
U21022KA1971PTC002123,MASTUR LAL PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,17-11-1971,Karnataka,1000000.0,625000.0,21022,Manufacturing,"7TH MILE BANNERGHATTARD.ARAKERE VILLAGE,BANGALORE   ",ROC BANGALORE,shramik.masturlal@gmail.com,31-03-2019,31-03-2019
U72200KA2004PTC033446,CN ERFX SOFTWARE INDIA PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,25-02-2004,Karnataka,2500000.0,1015300.0,72200,Real estate renting and business activities,"946, 11TH MAIN, I FLOORHAL II STAGEINDIRANAGAR  ",ROC BANGALORE,,31-03-2006,31-03-2006
U40101KA2002PTC030297,SRI ANJANEYA POWERTECH PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,28-03-2002,Karnataka,11000000.0,3750000.0,40101,Electricity gas and water supply,"43 TO 45 I MAIN ROAD, PRASHANTHI NAGARISRO LAY OUT, BSK V STAGE, BANGALORE  ",ROC BANGALORE,hccvk@yahoo.com,,
U17112KA1994PTC015654,APAR SILKS PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,17-05-1994,Karnataka,200000.0,400.0,17112,Manufacturing,"12,R.T.STREET,AVENUE ROAD CROSS   ",ROC BANGALORE,,,
U74999KA2018PTC111261,YOUNG MIND EVENTS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,16-03-2018,Karnataka,1000000.0,100000.0,74999,Real estate renting and business activities,"Flat no A-6, Akash ResidencyChelekere Kalyanagar Post  ",ROC BANGALORE,arun10gowda@gmail.com,,
U72900KA2018PTC109809,VOXYBER TECHNOLOGY PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,23-01-2018,Karnataka,100000.0,100000.0,72900,Real estate renting and business activities,"Level-8, Tower 1,UmiyaBusinessBayCessnaBusinessPrkKadubeesanahalli, Marathalli-Sarjapur Outer RingRd  ",ROC BANGALORE,sunny@voxyber.com,31-03-2019,31-03-2019
U72900KA2011PTC061879,OPEX TECHNOLOGIES PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,28-12-2011,Karnataka,100000.0,100000.0,72900,Real estate renting and business activities,"No. 3304, 8th Cross, 12th A Main,HAL 2nd Stage (Near ESI), Indiranagar  ",ROC BANGALORE,opex.technologies2011@gmail.com,31-03-2019,31-03-2019
U15490KA1990PTC011203,RAJASHRI FOODS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,10-09-1990,Karnataka,60000000.0,49770000.0,15490,Manufacturing,"#17, PLATFORM ROAD,SESHADRIPURAMBANGALORE  ",ROC BANGALORE,mkr_mail@yahoo.com,31-03-2019,31-03-2019
U93000KA2018PTC118603,PERFORMANCE DATA (INDIA) PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,16-11-2018,Karnataka,1000000.0,100000.0,93000,Other community social and personal service activities,"Cypress B 601, House of Hiranandani,Devenahalli Talluk,  ",ROC BANGALORE,james.lim@performancedata.com,31-03-2019,31-03-2019
U65992KA1994PLC015809,MALLESWARAM BENEFIT FUND LIMITED   ,STOF,Public,Company limited by Shares,Non-govt company,28-06-1994,Karnataka,2500000.0,7000.0,65992,Financial intermediation,"115/3,11TH CROSS,MARGOSA ROADMALLESWARAM   ",ROC BANGALORE,corporate@yukthi.co.in,,
U72900KA2018OPC115735,FUINEX SOFTWARE SERVICES (OPC) PRIVATELIMITED  ,ACTV,Private(One Person Company),Company limited by Shares,Non-govt company,28-08-2018,Karnataka,1000000.0,100000.0,72900,Real estate renting and business activities,"#774, S.L.N.S. RESIDENCY, 17TH MAIN,22ND CROSS, 3RD SECTOR, HSR LAYOUT  ",ROC BANGALORE,Ravi.rathour02@gmail.com,,31-03-2019
U72200KA2011PTC057690,TRANSHEIGHT CONSULTANTS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,18-03-2011,Karnataka,500000.0,100000.0,72200,Real estate renting and business activities,"No.1192, 3RD CROSS, 5TH MAIN, A BLOCKSAHAKARANAGAR  ",ROC BANGALORE,veera@transheight.com,31-03-2019,31-03-2019
U74210KA2007PTC043522,SWATHI INNOVATIONS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,01-08-2007,Karnataka,500000.0,400000.0,74210,Real estate renting and business activities,"333-B, RANKA COLONYBANNAREGHATTA ROAD  ",ROC BANGALORE,mss@swathiblr.com,31-03-2019,31-03-2019
U85110KA2001PTC029417,ADVANCED HEALTHCARE RESOURCES INDIAPRIVATE LIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,17-08-2001,Karnataka,50000000.0,11000000.0,85110,Health and social work,"GATE #2,ST JOHNS HOSPITAL CAMPUS,KORAMANGALA,  ",ROC BANGALORE,ahripl@gmail.com,31-03-2019,31-03-2019
U60230KA2011PTC058426,WAVE LOGISTICS PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,02-05-2011,Karnataka,100000.0,100000.0,60230,Transport storage and communications,"NO.16, LOKANAYAKA NAGARHEBBAL  ",ROC BANGALORE,hariharan4581@gmail.com,31-03-2013,31-03-2014
U27105KA1976PTC003013,THE BHARATH METAL ALLOY INDUSTRIES PRIVATE LIMITED  ,STOF,Private,Company limited by Shares,Non-govt company,16-06-1976,Karnataka,1000000.0,2000.0,27105,Manufacturing,"78, PURNAVENKATA RAO ROAD,BANGALORE -2.   ",ROC BANGALORE,pmptextile@yahoo.com,,
U35990KA2017PTC104703,BULKLINER LOGISTICS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,14-07-2017,Karnataka,1000000.0,1000000.0,35990,Manufacturing,"OFFICE # 107, 1ST FLOOR,PAM ARCADE, KOTTARA  ",ROC BANGALORE,info@bulkliner.in,31-03-2019,31-03-2019
U74999KA2013PTC067625,AVA SKIN CARE PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,22-01-2013,Karnataka,100000.0,100000.0,74999,Real estate renting and business activities,"NO.10 GROUND FLOOR, 6TH MAIN, 4TH BLOCK,GORGUNTE PALYA, YESHWANTHPUR  ",ROC BANGALORE,avaskincare@gmail.com,31-03-2019,31-03-2019
U17124KA1963PLC001506,MEENAKSHI MYSORE MILLS LIMITED   ,STOF,Public,Company limited by Shares,Non-govt company,30-07-1963,Karnataka,1000000.0,1000.0,17124,Manufacturing,"45, 17TH CROSS ROADMALLESWARAMB'LORE 3  ",ROC BANGALORE,,,
